DATE,PM2.5(ug/m3),PM10(ug/m3),CO2(ppm),TEMPERATURE,HUMIDITY,TEMPUNIT
2024-11-01 00:00:07,004.5,007.0,443,023.2,049.9,C
2024-11-01 00:01:07,004.6,006.7,443,023.2,049.8,C
2024-11-01 00:02:07,004.7,007.0,443,023.3,049.9,C
2024-11-01 00:03:07,004.1,005.8,440,023.2,049.8,C
2024-11-01 00:04:07,004.2,006.4,440,023.2,049.8,C
2024-11-01 00:05:07,004.8,007.3,440,023.3,049.8,C
2024-11-01 00:06:07,005.5,008.2,439,023.2,049.9,C
2024-11-01 00:07:07,004.1,006.7,439,023.2,049.9,C
2024-11-01 00:08:07,003.9,006.3,439,023.2,049.8,C
2024-11-01 00:09:07,003.8,005.7,438,023.2,049.9,C
2024-11-01 00:10:07,004.0,006.2,437,023.2,050.0,C
2024-11-01 00:11:07,003.8,006.1,436,023.1,050.0,C
2024-11-01 00:12:07,004.3,006.5,436,023.1,050.0,C
2024-11-01 00:13:07,004.7,006.9,436,023.2,050.0,C
2024-11-01 00:14:07,005.2,008.4,436,023.1,050.0,C
2024-11-01 00:15:07,004.5,006.6,436,023.1,050.1,C
2024-11-01 00:16:07,004.0,006.4,436,023.1,050.0,C
2024-11-01 00:17:07,004.4,007.4,435,023.1,050.0,C
2024-11-01 00:18:07,005.0,008.4,435,023.2,050.1,C
2024-11-01 00:19:07,004.5,006.1,436,023.1,050.1,C
2024-11-01 00:20:07,004.7,007.6,438,023.1,050.1,C
2024-11-01 00:21:07,004.2,006.5,437,023.2,050.1,C
2024-11-01 00:22:07,004.5,007.5,437,023.1,050.1,C
2024-11-01 00:23:07,004.2,006.9,437,023.1,050.2,C
2024-11-01 00:24:07,004.4,005.9,437,023.1,050.1,C
2024-11-01 00:25:07,003.9,006.2,436,023.1,050.1,C
2024-11-01 00:26:07,004.0,005.8,436,023.2,050.2,C
2024-11-01 00:27:07,004.5,006.8,436,023.1,050.2,C
2024-11-01 00:28:07,004.5,007.1,436,023.0,050.3,C
2024-11-01 00:29:07,004.3,007.2,438,023.1,050.4,C
2024-11-01 00:30:07,004.3,006.7,437,023.0,050.2,C
2024-11-01 00:31:07,004.7,007.5,434,023.0,050.2,C
2024-11-01 00:32:07,004.3,007.2,433,023.1,050.2,C
2024-11-01 00:33:07,004.7,007.4,433,023.0,050.4,C
2024-11-01 00:34:07,004.6,007.3,434,023.0,050.5,C
2024-11-01 00:35:07,003.8,006.3,434,023.0,050.3,C
2024-11-01 00:36:07,004.4,006.8,433,023.0,050.3,C
2024-11-01 00:37:07,004.3,006.7,433,023.1,050.4,C
2024-11-01 00:38:07,004.7,007.4,433,022.9,050.4,C
2024-11-01 00:39:07,004.7,007.5,434,022.9,050.5,C
2024-11-01 00:40:07,004.0,006.9,434,023.0,050.5,C
2024-11-01 00:41:07,004.2,006.1,434,022.9,050.5,C
2024-11-01 00:42:07,004.2,006.7,433,022.9,050.5,C
2024-11-01 00:43:07,004.5,006.7,433,023.0,050.3,C
