DATE,PM2.5(ug/m3),PM10(ug/m3),CO2(ppm),TEMPERATURE,HUMIDITY,TEMPUNIT
2025-03-01 00:00:06,002.7,004.4,498,076.6,045.1,F
2025-03-01 00:05:06,002.3,003.5,500,076.5,045.2,F
2025-03-01 00:10:06,002.0,003.4,499,076.6,045.1,F
2025-03-01 00:15:06,002.5,004.0,499,076.5,045.2,F
2025-03-01 00:20:06,002.0,003.1,500,076.4,045.2,F
2025-03-01 00:25:06,002.6,004.3,497,076.4,045.2,F
2025-03-01 00:30:06,002.4,003.3,493,076.5,045.1,F
2025-03-01 00:35:06,002.2,003.6,493,076.4,045.1,F
2025-03-01 00:40:06,002.0,002.9,494,076.4,045.2,F
2025-03-01 00:45:06,001.8,002.7,494,076.4,045.1,F
2025-03-01 00:50:06,002.2,003.9,495,076.4,045.1,F
2025-03-01 00:55:06,002.0,003.1,492,076.3,045.1,F
2025-03-01 01:00:06,001.8,002.7,492,076.3,045.1,F
2025-03-01 01:05:06,002.2,003.6,492,076.5,045.2,F
2025-03-01 01:10:06,001.8,003.0,491,076.5,045.3,F
2025-03-01 01:15:06,001.9,002.9,487,076.5,045.2,F
2025-03-01 01:20:06,002.4,003.8,488,076.5,045.2,F
2025-03-01 01:25:06,001.6,002.3,488,076.3,045.0,F
2025-03-01 01:30:06,001.6,002.8,483,076.3,045.0,F
2025-03-01 01:35:06,001.6,002.6,480,076.2,045.0,F
2025-03-01 01:40:06,001.4,002.2,482,076.3,045.0,F
2025-03-01 01:45:06,001.6,002.6,482,076.3,045.1,F
2025-03-01 01:50:06,001.4,001.9,482,076.2,045.0,F
2025-03-01 01:55:06,001.5,002.6,480,076.3,045.0,F
2025-03-01 02:00:06,001.1,001.8,481,076.3,044.9,F
2025-03-01 02:05:06,001.8,002.7,483,076.4,044.8,F
2025-03-01 02:10:06,001.6,002.7,480,076.4,044.8,F
2025-03-01 02:15:06,001.5,002.5,484,076.3,044.9,F
2025-03-01 02:20:06,001.3,001.8,482,076.3,044.8,F
2025-03-01 02:25:06,001.0,001.5,478,076.5,044.8,F
2025-03-01 02:30:06,001.3,002.1,476,076.5,044.7,F
2025-03-01 02:35:06,001.3,002.1,475,076.4,044.7,F
2025-03-01 02:40:06,001.2,001.8,473,076.3,044.7,F
2025-03-01 02:45:06,001.3,001.9,472,076.1,044.6,F
2025-03-01 02:50:06,001.3,002.3,471,076.1,044.5,F
2025-03-01 02:55:06,001.2,001.8,470,076.0,044.4,F
2025-03-01 03:00:06,000.9,001.4,470,076.1,044.4,F
2025-03-01 03:05:06,001.0,001.4,468,076.0,044.4,F
2025-03-01 03:10:06,001.0,001.7,465,076.1,044.2,F
2025-03-01 03:15:06,001.2,001.9,466,076.0,044.2,F
2025-03-01 03:20:06,001.1,001.7,466,076.0,044.2,F
2025-03-01 03:25:06,001.3,002.1,462,076.0,044.2,F
2025-03-01 03:30:06,001.1,001.7,460,076.0,044.2,F
2025-03-01 03:35:06,001.2,001.7,456,076.0,044.1,F
2025-03-01 03:40:06,000.9,001.6,455,075.9,044.0,F
2025-03-01 03:45:06,001.0,001.9,456,076.2,043.9,F
2025-03-01 03:50:06,001.1,001.9,455,076.1,043.8,F
2025-03-01 03:55:06,000.8,001.3,453,076.1,043.8,F
2025-03-01 04:00:06,000.8,001.3,453,076.2,043.6,F
2025-03-01 04:05:06,000.8,001.0,452,075.9,043.6,F
2025-03-01 04:10:06,001.0,001.5,451,075.9,043.5,F
2025-03-01 04:15:06,001.0,001.8,453,075.9,043.5,F
2025-03-01 04:20:06,000.8,001.3,452,076.0,043.4,F
2025-03-01 04:25:06,000.7,001.3,450,075.9,043.4,F
2025-03-01 04:30:06,000.8,001.3,450,075.9,043.5,F
2025-03-01 04:35:06,001.0,001.3,452,075.9,043.4,F
2025-03-01 04:40:06,000.9,001.1,449,075.9,043.4,F
2025-03-01 04:45:06,000.7,000.9,447,076.0,043.3,F
2025-03-01 04:50:06,000.9,001.4,447,075.9,043.3,F
2025-03-01 04:55:06,000.9,001.5,448,075.8,043.4,F
2025-03-01 05:00:06,001.3,002.4,446,075.8,043.4,F
2025-03-01 05:05:06,000.8,001.2,448,076.0,043.5,F
2025-03-01 05:10:06,001.0,001.7,446,076.0,043.5,F
2025-03-01 05:15:06,000.5,000.8,450,075.9,043.7,F
2025-03-01 05:20:06,001.1,001.9,452,075.9,043.7,F
2025-03-01 05:25:06,001.3,002.3,451,075.8,043.6,F
2025-03-01 05:30:06,001.2,002.0,450,075.8,043.5,F
2025-03-01 05:35:06,001.1,001.6,449,075.8,043.5,F
2025-03-01 05:40:06,000.7,001.1,451,075.8,043.5,F
2025-03-01 05:45:06,001.0,001.4,449,075.7,043.7,F
2025-03-01 05:50:06,001.5,002.6,450,075.8,043.5,F
2025-03-01 05:55:06,001.1,001.3,449,075.8,043.5,F
2025-03-01 06:00:06,000.8,001.2,446,075.8,043.6,F
2025-03-01 06:05:06,000.9,001.2,444,075.8,043.5,F
2025-03-01 06:10:06,001.0,001.7,444,075.8,043.5,F
2025-03-01 06:15:06,000.9,001.6,446,075.8,043.5,F
2025-03-01 06:20:06,001.1,001.7,446,075.8,043.5,F
2025-03-01 06:25:06,000.9,001.3,444,075.9,043.7,F
2025-03-01 06:30:06,000.8,001.3,445,075.9,043.7,F
2025-03-01 06:35:06,001.0,001.5,445,075.8,043.8,F
2025-03-01 06:40:06,001.2,002.0,444,075.8,043.8,F
2025-03-01 06:45:06,000.9,001.0,447,075.7,043.7,F
2025-03-01 06:50:06,001.1,001.8,495,075.7,043.8,F
2025-03-01 06:55:06,001.3,002.1,571,075.7,044.1,F
2025-03-01 07:00:06,000.9,001.4,618,075.9,044.4,F
2025-03-01 07:05:06,001.4,002.3,647,076.1,044.4,F
2025-03-01 07:10:06,001.3,002.2,646,076.5,044.1,F
2025-03-01 07:15:06,001.0,001.4,648,076.7,043.8,F
2025-03-01 07:20:06,001.2,002.0,653,076.8,043.9,F
2025-03-01 07:25:06,001.2,001.9,705,076.9,044.1,F
2025-03-01 07:30:06,001.4,002.3,737,077.0,044.2,F
2025-03-01 07:35:06,001.7,002.5,689,077.0,043.9,F
2025-03-01 07:40:06,001.2,002.0,658,077.1,043.7,F
2025-03-01 07:45:06,001.4,002.0,635,077.0,043.4,F
2025-03-01 07:50:06,001.2,002.0,620,077.2,043.4,F
2025-03-01 07:55:06,001.7,002.7,605,077.2,043.3,F
2025-03-01 08:00:06,001.2,001.6,589,077.2,043.1,F
2025-03-01 08:05:06,001.6,001.8,575,077.2,043.1,F
2025-03-01 08:10:06,002.3,004.0,568,077.2,043.0,F
2025-03-01 08:15:06,001.8,002.9,560,077.0,042.8,F
2025-03-01 08:20:06,001.9,002.5,548,077.0,042.7,F
2025-03-01 08:25:06,001.4,002.0,541,077.0,042.6,F
2025-03-01 08:30:06,001.2,001.7,529,077.0,042.5,F
2025-03-01 08:35:06,001.6,002.4,517,077.0,042.5,F
2025-03-01 08:40:06,001.3,001.9,515,076.9,042.5,F
2025-03-01 08:45:06,001.4,002.2,507,076.9,042.4,F
2025-03-01 08:50:06,001.1,001.9,499,076.9,042.3,F
2025-03-01 08:55:06,001.3,002.0,494,076.9,042.3,F
2025-03-01 09:00:06,001.4,002.2,483,076.9,042.2,F
2025-03-01 09:05:07,001.1,001.3,475,076.9,042.2,F
2025-03-01 09:10:07,001.2,001.8,469,077.1,042.2,F
2025-03-01 09:15:07,001.2,001.9,467,077.1,042.2,F
2025-03-01 09:20:07,001.4,002.0,478,077.1,042.3,F
2025-03-01 09:25:07,001.6,002.6,486,077.1,042.3,F
2025-03-01 09:30:07,001.9,003.3,492,076.9,042.4,F
2025-03-01 09:35:07,001.8,002.6,494,077.0,042.3,F
2025-03-01 09:40:07,002.0,003.3,498,077.1,042.3,F
2025-03-01 09:45:07,002.1,003.4,504,077.2,042.3,F
2025-03-01 09:50:07,001.9,003.0,505,077.2,042.2,F
2025-03-01 09:55:07,002.0,002.7,506,077.3,042.2,F
2025-03-01 10:00:07,001.8,002.8,511,077.3,042.2,F
2025-03-01 10:05:07,001.8,002.4,507,077.3,042.1,F
2025-03-01 10:10:07,002.0,002.9,508,077.4,042.0,F
2025-03-01 10:15:07,002.0,003.3,510,077.4,042.0,F
2025-03-01 10:20:07,001.7,002.5,512,077.4,042.0,F
2025-03-01 10:25:07,001.9,003.2,522,077.4,042.0,F
