DATE,PM2.5(ug/m3),PM10(ug/m3),CO2(ppm),TEMPERATURE,HUMIDITY,TEMPUNIT
2024-10-21 00:00:24,004.8,007.6,482,025.2,031.6,C
2024-10-21 00:01:24,004.5,007.0,480,025.1,031.7,C
2024-10-21 00:02:24,005.4,008.9,478,025.1,031.8,C
2024-10-21 00:03:24,005.2,008.3,477,025.1,031.8,C
2024-10-21 00:04:24,005.4,008.0,477,025.1,031.8,C
2024-10-21 00:05:24,005.5,009.0,476,025.2,031.8,C
2024-10-21 00:06:24,004.9,008.3,476,025.1,031.8,C
2024-10-21 00:07:25,005.0,007.4,476,025.1,032.0,C
2024-10-21 00:08:25,004.5,006.8,476,025.1,031.9,C
2024-10-21 00:09:25,004.5,007.0,475,025.0,032.0,C
2024-10-21 00:10:25,005.0,007.6,474,025.1,031.9,C
2024-10-21 00:11:25,004.9,007.5,473,025.0,032.0,C
2024-10-21 00:12:25,004.2,007.2,471,025.0,032.1,C
2024-10-21 00:13:25,004.7,007.3,470,025.0,032.0,C
2024-10-21 00:14:25,004.8,007.7,470,025.0,032.0,C
2024-10-21 00:15:25,004.1,005.5,470,025.1,032.0,C
2024-10-21 00:16:25,004.9,007.5,469,025.0,032.1,C
2024-10-21 00:17:25,005.0,008.1,469,025.0,032.3,C
2024-10-21 00:18:25,005.0,007.9,467,025.1,032.3,C
2024-10-21 00:19:25,005.0,008.2,466,025.0,032.3,C
2024-10-21 00:20:25,004.5,007.1,465,025.0,032.4,C
2024-10-21 00:21:25,004.6,007.6,465,025.0,032.4,C
2024-10-21 00:22:25,004.6,007.1,465,025.0,032.5,C
2024-10-21 00:23:25,004.6,007.2,464,025.1,032.5,C
2024-10-21 00:24:25,004.5,007.1,463,025.0,032.6,C
2024-10-21 00:25:25,003.9,005.8,462,025.0,032.8,C
2024-10-21 00:26:25,004.2,006.4,462,025.0,032.7,C
2024-10-21 00:27:25,004.2,006.2,461,025.0,032.8,C
