DATE,PM2.5(ug/m3),PM10(ug/m3),CO2(ppm),TEMPERATURE,HUMIDITY,TEMPUNIT
2024-11-16 00:00:35,003.9,006.6,482,072.4,041.7,F
2024-11-16 00:01:35,004.1,006.7,487,072.5,041.7,F
2024-11-16 00:02:35,004.4,007.7,488,072.5,041.7,F
2024-11-16 00:03:35,003.8,006.0,488,072.6,041.8,F
2024-11-16 00:04:35,003.7,005.4,488,072.8,041.7,F
2024-11-16 00:05:35,004.9,007.9,496,072.7,041.7,F
2024-11-16 00:06:35,004.5,006.8,501,072.8,041.8,F
2024-11-16 00:07:35,004.6,007.8,506,073.0,041.7,F
2024-11-16 00:08:35,004.6,007.1,507,072.9,041.6,F
2024-11-16 00:09:35,004.8,007.7,509,073.0,041.7,F
2024-11-16 00:10:35,004.8,008.0,511,073.2,041.6,F
2024-11-16 00:11:35,004.1,007.1,515,073.1,041.5,F
2024-11-16 00:12:35,004.6,006.8,520,073.2,041.5,F
2024-11-16 00:13:35,004.6,007.3,522,073.2,041.5,F
2024-11-16 00:14:35,004.7,007.6,522,073.3,041.5,F
2024-11-16 00:15:35,005.1,008.1,502,073.4,041.3,F
2024-11-16 00:16:35,003.6,006.0,471,073.1,041.2,F
2024-11-16 00:17:35,003.2,004.4,444,073.0,041.4,F
2024-11-16 00:18:35,003.9,006.3,433,073.0,041.4,F
2024-11-16 00:19:35,003.2,005.5,432,072.7,041.4,F
2024-11-16 00:20:35,002.8,004.6,430,072.6,041.5,F
2024-11-16 00:21:35,003.8,006.6,428,072.5,041.7,F
2024-11-16 00:22:35,003.9,006.4,427,072.4,041.9,F
2024-11-16 00:23:35,003.2,005.4,425,072.4,041.9,F
2024-11-16 00:24:35,002.9,005.0,419,072.2,041.9,F
2024-11-16 00:25:35,003.2,004.7,418,072.1,042.2,F
2024-11-16 00:26:35,003.6,005.7,432,072.3,042.1,F
2024-11-16 00:27:35,004.0,006.0,448,072.2,042.1,F
2024-11-16 00:28:35,003.8,005.7,462,072.2,042.1,F
2024-11-16 00:29:35,003.6,005.9,467,072.3,042.1,F
2024-11-16 00:30:35,003.8,005.8,476,072.4,042.2,F
2024-11-16 00:31:35,003.8,006.1,486,072.6,042.2,F
2024-11-16 00:32:35,003.5,006.1,493,072.5,042.2,F
2024-11-16 00:33:35,004.4,007.2,497,072.6,042.2,F
2024-11-16 00:34:35,003.4,005.6,498,072.8,042.1,F
2024-11-16 00:35:35,003.8,006.3,503,072.7,042.1,F
2024-11-16 00:36:35,003.6,006.2,504,072.8,042.2,F
2024-11-16 00:37:35,003.7,005.9,506,073.0,042.1,F
2024-11-16 00:38:35,004.5,006.7,510,072.9,042.0,F
2024-11-16 00:39:35,003.9,005.9,513,072.9,042.0,F
2024-11-16 00:40:35,003.8,006.3,514,073.0,042.0,F
2024-11-16 00:41:35,004.0,006.9,516,073.0,042.0,F
2024-11-16 00:42:35,004.0,006.8,513,073.3,041.8,F
2024-11-16 00:43:35,004.1,006.8,520,073.2,041.8,F
2024-11-16 00:44:35,004.0,007.1,506,073.2,041.8,F
2024-11-16 00:45:35,003.1,005.2,476,073.3,041.5,F
2024-11-16 00:46:35,003.0,004.2,451,073.0,041.5,F
2024-11-16 00:47:35,002.8,004.6,444,072.8,041.6,F
2024-11-16 00:48:35,002.8,005.2,442,072.7,041.7,F
2024-11-16 00:49:35,002.8,004.6,440,072.6,041.9,F
2024-11-16 00:50:35,002.6,004.2,434,072.7,041.9,F
2024-11-16 00:51:35,002.9,004.7,429,072.3,041.9,F
2024-11-16 00:52:35,002.8,004.8,423,072.2,042.1,F
2024-11-16 00:53:35,002.5,004.0,421,072.3,042.1,F
2024-11-16 00:54:35,003.4,005.6,419,072.0,042.2,F
2024-11-16 00:55:35,002.6,004.4,417,071.9,042.3,F
2024-11-16 00:56:35,003.6,005.8,429,071.9,042.4,F
2024-11-16 00:57:35,002.6,004.0,437,071.9,042.4,F
2024-11-16 00:58:35,003.2,005.1,453,072.0,042.4,F
2024-11-16 00:59:35,002.9,004.7,460,072.1,042.4,F
2024-11-16 01:00:35,003.7,005.8,463,072.1,042.5,F
2024-11-16 01:01:35,003.4,006.1,471,072.4,042.4,F
2024-11-16 01:02:35,003.2,005.0,486,072.3,042.4,F
2024-11-16 01:03:35,003.3,005.7,492,072.4,042.6,F
2024-11-16 01:04:35,004.0,006.8,497,072.6,042.4,F
2024-11-16 01:05:35,003.4,005.0,495,072.5,042.4,F
2024-11-16 01:06:35,003.7,005.9,494,072.5,042.4,F
2024-11-16 01:07:35,004.1,006.8,502,072.5,042.5,F
2024-11-16 01:08:35,003.4,005.8,508,072.6,042.6,F
2024-11-16 01:09:35,003.6,005.6,515,072.9,042.5,F
2024-11-16 01:10:35,003.3,005.8,515,072.7,042.4,F
2024-11-16 01:11:35,004.2,006.6,514,072.8,042.5,F
2024-11-16 01:12:35,003.5,005.6,528,073.1,042.4,F
2024-11-16 01:13:35,004.0,006.7,530,072.9,042.3,F
2024-11-16 01:14:35,003.2,005.2,523,073.0,042.3,F
2024-11-16 01:15:35,002.7,004.3,493,072.9,042.2,F
2024-11-16 01:16:35,002.8,004.8,466,072.8,042.1,F
2024-11-16 01:17:35,003.0,004.8,453,072.9,042.1,F
2024-11-16 01:18:35,002.8,004.6,447,072.6,042.1,F
2024-11-16 01:19:35,002.8,004.8,441,072.5,042.2,F
2024-11-16 01:20:35,002.8,004.5,437,072.5,042.2,F
2024-11-16 01:21:35,002.6,004.4,430,072.2,042.1,F
2024-11-16 01:22:35,003.3,005.5,430,072.1,042.4,F
2024-11-16 01:23:35,002.8,004.8,429,072.2,042.3,F
2024-11-16 01:24:35,003.0,005.5,428,071.9,042.4,F
2024-11-16 01:25:35,002.9,004.1,423,071.8,042.4,F
2024-11-16 01:26:35,003.0,004.1,425,071.8,042.5,F
2024-11-16 01:27:35,002.9,005.2,435,071.8,042.7,F
2024-11-16 01:28:35,003.1,005.1,452,072.1,042.6,F
2024-11-16 01:29:36,002.7,004.8,463,072.0,042.6,F
